timestamp, utilization.gpu [%], temperature.gpu, temperature.memory, power.draw [W], power.draw.instant [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2024/07/31 06:01:31.985, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.012, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.014, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.015, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.016, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.017, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.018, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.019, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.020, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.021, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.022, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.023, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.024, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.025, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.026, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.027, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.029, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.030, 0 %, 32, 40, 74.32 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.031, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.032, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.033, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.034, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.035, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.036, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.037, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.038, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.039, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.041, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.042, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.043, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.044, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.045, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.046, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.047, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.048, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.049, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.050, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.051, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.053, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.054, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.055, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.056, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.057, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.058, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.059, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.060, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.061, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.062, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.063, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.065, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.066, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.067, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.068, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.069, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.071, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.072, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.073, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.074, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.075, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.076, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.077, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.078, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.079, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.080, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.081, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.082, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.084, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.085, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.086, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.087, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.088, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.089, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.090, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.091, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.092, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.093, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.095, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.096, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.097, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.098, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.099, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.100, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.101, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.102, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.103, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.104, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.105, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.107, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.108, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.109, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.110, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.111, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.112, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.113, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.114, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.115, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.116, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.117, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.119, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.120, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.121, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.122, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.123, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.124, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.125, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.126, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.127, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.128, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.129, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.131, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.132, 0 %, 32, 40, 74.30 W, 74.06 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.133, 0 %, 32, 40, 74.30 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.134, 0 %, 32, 40, 74.30 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.135, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.136, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.137, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.138, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.139, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.140, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.141, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.143, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.144, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.145, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.146, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.147, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.148, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.149, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.150, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.151, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.152, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.153, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.155, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.156, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.157, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.158, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.159, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.160, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.161, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.162, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.163, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.164, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.165, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.167, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.168, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.169, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.170, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.171, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.172, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.173, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.174, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.175, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.176, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.177, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.179, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.180, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.181, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.182, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.183, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.184, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.185, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.186, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.187, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.188, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.190, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.191, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.192, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.193, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.194, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.195, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.196, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.197, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.198, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.199, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.200, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.202, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.203, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.204, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.205, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.206, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.207, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.208, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.209, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.210, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.211, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.212, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.214, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.215, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.216, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.217, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.218, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.219, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.220, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.221, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.222, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.223, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.224, 0 %, 32, 40, 74.31 W, 74.70 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.226, 0 %, 32, 40, 74.31 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.227, 0 %, 32, 40, 74.31 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.228, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.229, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.230, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.231, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.232, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.233, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.234, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.235, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.236, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.238, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.239, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.240, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.241, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.242, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.243, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.244, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.245, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.246, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.247, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.248, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.250, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.251, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.252, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.253, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.254, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.255, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.256, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.257, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.258, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.259, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.260, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.262, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.263, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.264, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.265, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.266, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.267, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.268, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.269, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.270, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.271, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.272, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.274, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.275, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.276, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.277, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.278, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.279, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.280, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.281, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.282, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.283, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.285, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.286, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
2024/07/31 06:01:32.287, 0 %, 32, 40, 74.29 W, 73.74 W, 345 MHz, 2619 MHz
